"STRATO","M1","S1","N","DOM1","COST","CENS","SOLUZ"
"215",5,3891.237875,4536.28571836162,8,9,1,0,4.36909092099697
"216",6,68.0394,0,1,9,1,0,1
"217",7,676.1127975,945.26411960716,12,9,1,0,2
"218",8,6053.65348557143,3483.60851912997,21,9,1,0,8.80743270105015
"219",9,1369.18346190955,1746.79688011746,44,9,1,0,9.25328159415814
"220",10,1425.80567314965,1682.57781272295,57,9,1,0,11.546509259032
"221",11,2487.137344375,3062.43432715628,32,9,1,0,11.798246270732
"222",12,2354.48118646818,2659.69767141004,44,9,1,0,14.0891776193347
"223",13,1250.3670676087,1234.50811170754,23,9,1,0,3.41839684230501
"224",14,4775.90807986923,4911.95028674418,26,9,1,0,15.3754560200486
"225",15,1612.1140898,1039.14130291375,15,9,1,0,2
"226",16,2255.17069444444,1402.35335291584,18,9,1,0,3.03899969842838
"227",17,824.944031026842,1092.38783075489,19,9,1,0,2.4987979965282
"228",18,1696.57848880769,2398.22081925194,13,9,1,0,3.75347230532424
"229",19,1000.61697366667,1578.66294194834,6,9,1,0,2
"230",20,1310.06,0,1,9,1,0,1
"231",21,19837.275952381,16927.3999016304,21,9,1,0,21
"232",22,40478.8666666667,1547.67890056667,3,9,1,0,2
"233",23,4352.28,0,1,9,1,0,1
"234",1,65.4328,16.7353790330545,2,10,1,0,2
"235",2,162.465,0,1,10,1,0,1
"236",3,101.151275,27.422387593173,4,10,1,0,2
"237",4,275.731,57.3446610995741,4,10,1,0,2
"238",5,467.5555,29.0659777940636,2,10,1,0,2
"239",6,870.634113793103,830.417525088637,29,10,1,0,2
"240",7,86.8641,43.1529501663302,3,10,1,0,2
"241",8,89.46,45.4718006217623,10,10,1,0,2
"242",9,90.2016333333333,38.3127577020927,3,10,1,0,2
"243",10,442.816814285714,231.198022330792,7,10,1,0,2
"244",11,444.900431034483,320.908728731995,29,10,1,0,2
"245",12,657.149355023924,576.954711932485,209,10,1,0,4.11171199824996
"246",13,530.140826347306,896.391725103056,334,10,1,0,10.2089007612518
"247",14,2123.84576356589,3832.04417243897,129,10,1,0,16.8560143943547
"248",15,688.632486690648,778.220862464546,278,10,1,0,7.37704345373567
"249",16,499.36686328125,450.635300826931,128,10,1,0,2
"250",17,964.663347486772,998.127254768824,378,10,1,0,12.8650770317165
"251",18,369.33005,372.973998340976,80,10,1,0,2
"252",19,325.18538699187,265.848899023095,123,10,1,0,2
"253",20,600.240560583942,555.307814744427,137,10,1,0,2.59411382960557
"254",21,564.526852467532,809.784627358384,385,10,1,0,10.6307751882355
"255",22,688.509279347826,553.626858252191,184,10,1,0,3.47351877444832
"256",23,1284.16896281407,1122.72197924914,199,10,1,0,7.61833345399887
"257",24,1334.07838175182,1189.19219928209,137,10,1,0,5.555297167266
"258",25,3245.9161392562,3712.53013567078,242,10,1,0,30.6351513443387
"259",26,726.8255928,988.204265875332,125,10,1,0,4.21202959391006
"260",27,1285.00202876106,1392.92020917772,226,10,1,0,10.7341919002488
"261",28,1148.19199818182,1711.56081840468,165,10,1,0,9.62966007083845
"262",29,3535.88936904763,4786.7796002073,84,10,1,0,13.7106294694025
"263",30,369.114351785714,308.591214798972,56,10,1,0,2
"264",31,842.232835106384,763.638946570417,94,10,1,0,2.4476572351753
"265",32,682.404433830846,817.907933514946,201,10,1,0,5.60576844722718
"266",33,1297.24825888889,1793.6894010657,270,10,1,0,16.5137491275557
"267",34,561.546404950495,578.953613776928,101,10,1,0,2
"268",35,1094.1393631579,1250.86118296591,76,10,1,0,3.24158477907852
"269",36,545.798647058823,405.951931273253,187,10,1,0,2.58851624556277
"270",37,2242.257996,1246.05628262325,125,10,1,0,5.31107395436627
"271",38,141.758,139.272437128816,5,10,1,0,2
"272",39,7529.13214482759,3779.43738752106,58,10,1,0,7.47463215942454
"273",40,726.848785576924,713.040809563951,104,10,1,0,2.52861321010317
"274",41,408.028421212121,285.595493440849,33,10,1,0,2
"275",42,1690.8378,1385.93525259763,35,10,1,0,2
"276",43,835.483818181818,598.288975444269,22,10,1,0,2
"277",44,437.238242857143,530.657916657933,7,10,1,0,2
"278",45,3428.68500666667,2692.72422675158,90,10,1,0,8.26359575295375
"279",46,1078.57662923077,504.161524764727,65,10,1,0,2
"280",47,264.40392,310.454958514859,10,10,1,0,2
"281",48,1122.42448019802,1129.13028444163,101,10,1,0,3.88866119368859
"282",49,183.324,0,1,10,1,0,1
"283",50,288.644064705882,215.50451697555,17,10,1,0,2
"284",51,219.63825,8.38240600249267,4,10,1,0,2
"285",52,495.825545454546,209.958175757049,11,10,1,0,2
"286",53,590.737966666667,371.826981766924,27,10,1,0,2
"287",54,665.640217021277,732.824892261547,47,10,1,0,2
"288",55,13160.7596666667,11473.3750938054,9,10,1,0,3.52101907634811
"289",56,260.34132962963,80.2520055112618,27,10,1,0,2
"290",57,186.802763636364,83.0469581789896,11,10,1,0,2
"291",58,1633.0845,1571.53168739245,13,10,1,0,2
"292",59,419.949592307692,1084.42387565702,13,10,1,0,2
"293",60,2730.36909811321,1060.23152904152,53,10,1,0,2
"294",61,1732.60114285714,3861.85462859035,7,10,1,0,2
"295",62,1384.68620689655,160.189954426203,29,10,1,0,2
"296",63,511.25975,50.6472087974987,12,10,1,0,2
"297",64,193.826666666667,11.6852271467962,3,10,1,0,2
"298",65,26657.4083782609,7314.6273957774,46,10,1,0,11.473204022059
"299",66,11029.6666666667,71.0696789021821,3,10,1,0,2
"300",67,353.15375,15.3993242389276,4,10,1,0,2
"301",68,476.748533333333,41.9805067680103,15,10,1,0,2
"302",69,293.253666666667,15.4200270115534,3,10,1,0,2
"303",70,81.5979333333333,20.7665785925723,3,10,1,0,2
"304",71,211.3155,6.58705322014328,2,10,1,0,2
"305",72,8687.5618,1396.95413575543,100,10,1,0,4.76339749934058
"306",73,4530.36487179487,417.652990448281,39,10,1,0,2
"307",74,1072.13970454546,388.378813645112,44,10,1,0,2
"308",1,313.767,0,1,11,1,0,1
"309",2,412.767,0,1,11,1,0,1
"310",3,317.047,0,1,11,1,0,1
"311",4,330.237,0,1,11,1,0,1
"312",5,283.335,0,1,11,1,0,1
"313",6,252.785,0,1,11,1,0,1
"314",7,166.845,0,1,11,1,0,1
"315",8,635.99,351.409817063212,5,11,1,0,2
"316",9,241.099,0,1,11,1,0,1
"317",10,1996.12791625616,1934.21047575035,203,11,1,0,16.5868954604201
"318",11,1164.3213372093,938.865756232157,86,11,1,0,3.4108866622932
"319",12,1720.33857142857,74.6514454818956,7,11,1,0,2
"320",13,1220.58513333333,830.338627530198,60,11,1,0,2.10461097466496
"321",14,1121.408196,1733.89047140375,100,11,1,0,7.32465204351878
"322",15,1332.38147098765,1827.36100371178,162,11,1,0,12.5056049640604
"323",16,1662.62560843374,1570.23397972069,332,11,1,0,22.0225595698779
"324",17,4726.42052941176,3513.78149878275,17,11,1,0,2.52341692524009
"325",18,10025.9300909091,7788.58224012763,55,11,1,0,18.096160437555
"326",19,1068.77921367521,974.509507547062,234,11,1,0,9.63312678985909
"327",20,8246.6035,3578.09407400374,30,11,1,0,4.53459336157337
"328",21,1181.84025,797.565518626428,8,11,1,0,2
"329",22,3858.53544897959,3196.58707405476,49,11,1,0,6.61679923323021
"330",23,949.800333333333,736.502265229177,96,11,1,0,2.98683105686711
"331",24,843.369333333333,256.466303123876,9,11,1,0,2
"332",25,5523.65676415094,6605.68695791259,106,11,1,0,29.579388565445
"333",26,1029.19315,1613.04123424383,40,11,1,0,2.72565446723886
"334",27,678.128833333333,432.184674992228,18,11,1,0,2
"335",28,946.779,531.365734853841,7,11,1,0,2
"336",29,1560.10583333333,830.76610789601,12,11,1,0,2
"337",30,203.683,12.599,2,11,1,0,2
"338",31,1080.77,17.5362481734264,2,11,1,0,2
"339",32,22565.8333333333,1252.79653735998,21,11,1,0,2
"340",33,181.149,0,1,11,1,0,1
"341",34,21685.9206896552,1623.72922436291,58,11,1,0,3.9783861962208
"342",1,3.685175,1.97650596777495,4,12,1,0,2
"343",2,0.829374,0,1,12,1,0,1
"344",3,0.95854,0,1,12,1,0,1
"345",4,4.34886633333333,2.57337276535164,3,12,1,0,2
"346",5,5.52885625,2.46606462858384,8,12,1,0,2
"347",6,0.841232,0,1,12,1,0,1
"348",7,1.26219,0,1,12,1,0,1
"349",8,0.770623,0,1,12,1,0,1
"350",9,1.24852,0,1,12,1,0,1
"351",10,0.692737,0,1,12,1,0,1
"352",11,26.944783,22.8393346161915,30,12,1,0,2.56211605508939
"353",12,0.715979,0,1,12,1,0,1
"354",13,0.634595,0,1,12,1,0,1
"355",14,0.826152333333333,0.193936724152206,3,12,1,0,2
"356",15,0.81539325,0.139944281246814,4,12,1,0,2
"357",16,8.80140115,9.12813748420403,60,12,1,0,2.04798852456808
"358",17,26.4700679510489,18.5235303499,143,12,1,0,9.90498665051061
"359",18,41.9316321724138,41.1881625051919,290,12,1,0,44.6647092542777
"360",19,34.84016775,44.3325334576646,128,12,1,0,21.2190832151488
"361",20,72.3895914666667,83.3651351223574,45,12,1,0,14.0278485376443
"362",21,40.0806851623931,42.0716325859366,117,12,1,0,18.4064197920344
"363",22,12.9725580266667,12.1858255739088,300,12,1,0,13.670056449542
"364",23,14.9280454419889,19.5986498900901,181,12,1,0,13.2647425530153
"365",24,169.193153846154,6.96620822735793,13,12,1,0,2
"366",25,11.5318454020619,9.27716480101936,97,12,1,0,3.36496926367888
"367",26,15.4629264861879,14.2022954338684,181,12,1,0,9.61238624337286
"368",27,21.4851455555555,14.4840120694485,9,12,1,0,2
"369",28,12.2227768421053,6.01378504546995,19,12,1,0,2
"370",29,12.224184460177,13.0004990246128,113,12,1,0,5.49329045020138
"371",30,10.3669033779528,7.90833908669244,127,12,1,0,3.75563259060818
"372",31,16.4149478285714,22.120446928937,70,12,1,0,5.79009958364495
"373",32,10.8339330434783,6.73885541211205,23,12,1,0,2
"374",33,75.5408269642858,53.1825530927241,56,12,1,0,11.1365662550435
"375",34,5.4500185,4.86368945949827,6,12,1,0,2
"376",35,246.929153846154,28.6386131226648,26,12,1,0,2.78432179171402
"377",36,240.512295454545,22.9086364777692,44,12,1,0,3.76917249337827
"378",1,340.969,0,1,13,1,0,1
"379",2,775.9545,217.0685,2,13,1,0,2
"380",3,327.463,195.86,2,13,1,0,2
"381",4,595.948,0,1,13,1,0,1
"382",5,340.135,0,1,13,1,0,1
"383",6,1054.81861904762,801.14323873071,42,13,1,0,3.52736249886754
"384",7,915.99695,404.666847299353,20,13,1,0,2
"385",8,957.840170212766,634.029742564001,94,13,1,0,6.24781434718636
"386",9,7303.88653333334,3956.84380646816,15,13,1,0,6.2220113270827
"387",10,9556.65300000002,3828.80833378822,8,13,1,0,3.2110291248666
"388",11,2177.2283877551,1895.36956222745,49,13,1,0,9.73600107623178
"389",12,2485.87716129032,1892.86933737816,31,13,1,0,6.15138573487405
"390",13,1111.84003448276,878.654119438257,87,13,1,0,8.01360318388233
"391",14,908.324368421052,742.219701088825,76,13,1,0,5.9133924344036
"392",15,917.072405405406,522.013287077536,74,13,1,0,4.04952335838203
"393",16,13700.3048666667,5354.88082189742,15,13,1,0,8.42038017132375
"394",17,16522.7875,1089.11064903928,24,13,1,0,2.74014709752466
"395",1,78.6393,29.5886143283865,5,14,1,0,2
"396",2,17.4864,0,1,14,1,0,1
"397",3,22.8363,0,1,14,1,0,1
"398",4,18.6679,0,1,14,1,0,1
"399",5,13.6942,0,1,14,1,0,1
"400",6,47.4212,1.20957685989771,2,14,1,0,2
"401",7,36.9224,14.0513909566811,6,14,1,0,2
"402",8,295.830703173077,445.032541728112,104,14,1,0,4.01738975391986
"403",9,1176.12913039216,1810.74000600691,102,14,1,0,16.0315357658616
"404",10,435.138802380952,545.97158531066,168,14,1,0,7.96156017801618
"405",11,598.194274467743,923.207589562344,248,14,1,0,19.87329624789
"406",12,418.133018271605,730.56188416859,81,14,1,0,5.13642425817508
"407",13,1817.3123839899,2531.186239541,198,14,1,0,43.5018924866823
"408",14,736.138314728034,1019.61371683741,239,14,1,0,21.1520483218793
"409",15,340.997480495868,490.259483716123,121,14,1,0,5.14908704329893
"410",16,112.885115789474,144.319595015593,38,14,1,0,2
"411",17,622.667587878788,974.199364135779,99,14,1,0,8.37147329130447
"412",18,424.555457419355,954.931269532211,31,14,1,0,2.56952393892907
"413",19,106.493825,93.4274515645261,4,14,1,0,2
"414",20,74.410842857143,43.6319946039369,7,14,1,0,2
"415",21,1224.14771977778,1466.85859755737,45,14,1,0,5.72953826292766
"416",22,8045.27487647059,3023.38896852662,34,14,1,0,8.92260774090119
"417",23,4991.76743870967,1638.84075532289,31,14,1,0,4.40978391560136
"418",24,19892.45,1512.19128525564,16,14,1,0,2.10012707135686
"419",25,12885.9015151515,948.849861466595,66,14,1,0,5.43576025274678
"420",26,34.0657,0,1,14,1,0,1
"421",1,258.7065,18.3291589959823,4,15,1,0,2
"422",2,90.2236,0,1,15,1,0,1
"423",3,129.009,0,1,15,1,0,1
"424",4,241.773,17.6536278991033,2,15,1,0,2
"425",5,91.368,0,1,15,1,0,1
"426",6,140.271,0,1,15,1,0,1
"427",7,167.613,0,1,15,1,0,1
"428",8,264.09025,25.4261446866213,4,15,1,0,2
"429",9,238.148725,110.740662248175,4,15,1,0,2
"430",10,149.367333333333,36.4655085465095,3,15,1,0,2
"431",11,142.9475,18.9515,2,15,1,0,2
"432",12,527.019406,386.929245908827,50,15,1,0,2
"433",13,1207.16080298507,890.769298439292,134,15,1,0,5.8397023786174
"434",14,2030.77836496815,1955.098381181,157,15,1,0,15.0171992776432
"435",15,769.811186363636,838.732710777376,132,15,1,0,5.41649301578446
"436",16,1615.04327957447,1960.22262021734,235,15,1,0,22.5368873607175
"437",17,768.262595726496,673.784228013182,234,15,1,0,7.71360460701303
"438",18,890.545445614035,1029.23662634335,114,15,1,0,5.7403815414461
"439",19,469.69226,552.453277460887,290,15,1,0,7.83816186208151
"440",20,1849.71724090909,1303.59313070394,44,15,1,0,2.80617928976453
"441",21,3296.67065695364,2358.05525683511,151,15,1,0,17.4201383741595
"442",22,1369.25510948905,1472.36303245045,274,15,1,0,19.7372273161713
"443",23,725.533386,592.038610279669,50,15,1,0,2
"444",24,1249.03141395349,1481.89613955591,43,15,1,0,3.11750312574244
"445",25,572.331497222222,449.412927007552,144,15,1,0,3.16612989061472
"446",26,313.505,225.890803151735,7,15,1,0,2
"447",27,2237.59142857143,62.2998732455692,7,15,1,0,2
"448",28,2022.005,91.4975707792288,10,15,1,0,2
"449",29,3748.57288888889,1303.73045427714,9,15,1,0,2
"450",30,3934.45,0,1,15,1,0,1
