"x"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",8
"9",9
"10",10
"11",11
"12",12
"13",13
"14",14
"15",15
"16",16
"17",17
"18",17
"19",17
"20",18
"21",17
"22",17
"23",19
"24",19
"25",19
"26",19
"27",19
"28",19
"29",19
"30",19
"31",19
"32",20
"33",19
"34",20
"35",20
"36",19
"37",19
"38",20
"39",20
"40",20
"41",19
"42",20
"43",19
"44",19
"45",20
"46",21
"47",21
"48",20
"49",20
"50",19
"51",19
"52",20
"53",21
"54",20
"55",21
"56",19
"57",20
"58",20
"59",20
"60",20
"61",21
"62",20
"63",8
"64",19
"65",20
"66",22
"67",23
"68",23
"69",24
"70",25
"71",23
"72",23
"73",24
"74",23
"75",23
"76",23
"77",23
"78",23
"79",23
"80",21
"81",26
"82",19
"83",23
"84",23
"85",23
"86",23
"87",23
"88",23
"89",23
"90",23
"91",23
"92",19
"93",25
"94",23
"95",24
"96",23
"97",23
"98",24
"99",23
"100",23
"101",24
"102",25
"103",23
"104",23
"105",23
"106",19
"107",23
"108",24
"109",16
"110",23
"111",23
"112",24
"113",26
"114",24
"115",24
"116",23
"117",24
"118",27
"119",25
"120",27
"121",25
"122",25
"123",23
"124",23
"125",23
"126",25
"127",23
"128",23
"129",25
"130",23
"131",23
"132",24
"133",25
"134",23
"135",24
"136",23
"137",23
"138",23
"139",27
"140",23
"141",24
"142",16
"143",27
"144",23
"145",27
"146",27
"147",25
"148",27
"149",25
"150",24
"151",16
"152",23
"153",23
"154",23
"155",23
"156",16
"157",27
"158",23
"159",27
"160",23
"161",27
"162",16
"163",23
"164",23
"165",23
"166",23
"167",28
"168",28
"169",28
"170",25
"171",27
"172",23
"173",19
"174",28
"175",25
"176",27
"177",16
"178",16
"179",27
"180",27
"181",25
"182",29
"183",25
"184",23
"185",28
"186",25
"187",23
"188",30
"189",27
"190",23
"191",23
"192",23
"193",23
"194",24
"195",25
"196",22
"197",23
"198",25
"199",27
"200",16
"201",27
"202",28
"203",27
"204",25
"205",27
"206",23
"207",23
"208",27
"209",23
"210",27
"211",25
"212",23
"213",24
"214",25
"215",23
"216",28
"217",23
"218",28
"219",23
"220",20
"221",23
"222",24
"223",23
"224",28
"225",19
"226",19
"227",27
"228",28
"229",27
"230",27
"231",19
"232",25
"233",24
"234",23
"235",25
"236",19
"237",27
"238",25
"239",23
"240",28
"241",24
"242",25
"243",25
"244",29
"245",23
"246",23
"247",25
"248",27
"249",28
"250",25
"251",20
"252",24
"253",23
"254",30
"255",27
"256",23
"257",30
"258",23
"259",29
"260",29
"261",16
"262",27
"263",24
"264",27
"265",19
"266",24
"267",23
"268",19
"269",21
"270",30
"271",29
"272",19
"273",30
"274",27
"275",25
"276",23
"277",24
"278",19
"279",30
"280",16
"281",30
"282",29
"283",30
"284",16
"285",29
"286",16
"287",31
"288",27
"289",20
"290",21
"291",25
"292",27
"293",28
"294",29
"295",25
"296",27
"297",25
"298",27
"299",20
"300",29
"301",27
"302",28
"303",24
"304",29
"305",31
"306",19
"307",32
"308",31
"309",19
"310",29
"311",27
"312",32
"313",28
"314",31
"315",30
"316",30
"317",31
"318",16
"319",32
"320",24
"321",32
"322",27
"323",25
"324",29
"325",27
"326",33
"327",30
"328",27
"329",27
"330",30
"331",23
"332",19
"333",30
"334",23
"335",29
"336",29
"337",30
"338",16
"339",32
"340",16
"341",32
"342",31
"343",20
"344",32
"345",32
"346",21
"347",32
"348",23
"349",33
"350",23
"351",27
"352",23
"353",27
"354",32
"355",28
"356",22
"357",29
"358",20
"359",25
"360",23
"361",32
"362",29
"363",19
"364",25
"365",32
"366",26
"367",26
"368",28
"369",27
"370",25
"371",30
"372",26
"373",32
"374",32
"375",32
"376",24
"377",24
"378",19
"379",19
"380",30
"381",32
"382",29
"383",20
"384",26
"385",24
"386",23
"387",30
"388",25
"389",29
"390",25
"391",29
"392",27
"393",32
"394",24
"395",25
"396",27
"397",25
"398",25
"399",30
"400",32
"401",28
"402",29
"403",29
"404",25
"405",29
"406",24
"407",32
"408",19
"409",30
"410",23
"411",32
"412",29
"413",23
"414",27
"415",32
"416",32
"417",26
"418",27
"419",21
"420",24
"421",32
"422",24
"423",32
"424",23
"425",27
"426",24
"427",30
"428",28
"429",32
"430",33
"431",27
"432",16
"433",16
"434",23
"435",8
"436",25
"437",30
"438",31
"439",26
"440",24
"441",27
"442",32
"443",16
"444",27
"445",31
"446",19
"447",32
"448",24
"449",19
"450",29
"451",32
"452",27
