State,County,CFS12_GEOID,CFS12_Name
29,007,E330000US2999999999,Remainder of Missouri
29,009,E330000US2999999999,Remainder of Missouri
29,011,E330000US2999999999,Remainder of Missouri
29,013,E330000US2931200000,"Kansas City-Overland Park-Kansas City,MO-KS  CFS Area (MO Part)"
29,015,E330000US2999999999,Remainder of Missouri
29,017,E330000US2999999999,Remainder of Missouri
29,019,E330000US2999999999,Remainder of Missouri
29,021,E330000US2931200000,"Kansas City-Overland Park-Kansas City,MO-KS  CFS Area (MO Part)"
29,023,E330000US2999999999,Remainder of Missouri
29,025,E330000US2931200000,"Kansas City-Overland Park-Kansas City,MO-KS  CFS Area (MO Part)"
29,027,E330000US2999999999,Remainder of Missouri
29,029,E330000US2999999999,Remainder of Missouri
29,031,E330000US2999999999,Remainder of Missouri
29,033,E330000US2999999999,Remainder of Missouri
29,035,E330000US2999999999,Remainder of Missouri
29,037,E330000US2931200000,"Kansas City-Overland Park-Kansas City,MO-KS  CFS Area (MO Part)"
29,039,E330000US2999999999,Remainder of Missouri
29,041,E330000US2999999999,Remainder of Missouri
29,043,E330000US2999999999,Remainder of Missouri
29,045,E330000US2999999999,Remainder of Missouri
29,047,E330000US2931200000,"Kansas City-Overland Park-Kansas City,MO-KS  CFS Area (MO Part)"
29,049,E330000US2931200000,"Kansas City-Overland Park-Kansas City,MO-KS  CFS Area (MO Part)"
29,051,E330000US2999999999,Remainder of Missouri
29,053,E330000US2999999999,Remainder of Missouri
29,055,E330000US2999999999,Remainder of Missouri
29,057,E330000US2999999999,Remainder of Missouri
29,059,E330000US2999999999,Remainder of Missouri
29,061,E330000US2999999999,Remainder of Missouri
29,063,E330000US2931200000,"Kansas City-Overland Park-Kansas City,MO-KS  CFS Area (MO Part)"
29,065,E330000US2999999999,Remainder of Missouri
29,067,E330000US2999999999,Remainder of Missouri
29,069,E330000US2999999999,Remainder of Missouri
29,071,E330000US2947600000,"St. Louis-St. Charles-Farmington,MO-IL  CFS Area (MO Part)"
29,073,E330000US2999999999,Remainder of Missouri
29,075,E330000US2999999999,Remainder of Missouri
29,077,E330000US2999999999,Remainder of Missouri
29,079,E330000US2999999999,Remainder of Missouri
29,081,E330000US2999999999,Remainder of Missouri
29,083,E330000US2999999999,Remainder of Missouri
29,085,E330000US2999999999,Remainder of Missouri
29,087,E330000US2999999999,Remainder of Missouri
29,089,E330000US2999999999,Remainder of Missouri
29,091,E330000US2999999999,Remainder of Missouri
29,093,E330000US2999999999,Remainder of Missouri
29,095,E330000US2931200000,"Kansas City-Overland Park-Kansas City,MO-KS  CFS Area (MO Part)"
29,097,E330000US2999999999,Remainder of Missouri
29,099,E330000US2947600000,"St. Louis-St. Charles-Farmington,MO-IL  CFS Area (MO Part)"
29,101,E330000US2931200000,"Kansas City-Overland Park-Kansas City,MO-KS  CFS Area (MO Part)"
29,103,E330000US2999999999,Remainder of Missouri
29,105,E330000US2999999999,Remainder of Missouri
29,107,E330000US2931200000,"Kansas City-Overland Park-Kansas City,MO-KS  CFS Area (MO Part)"
29,109,E330000US2999999999,Remainder of Missouri
29,111,E330000US2999999999,Remainder of Missouri
29,113,E330000US2947600000,"St. Louis-St. Charles-Farmington,MO-IL  CFS Area (MO Part)"
29,115,E330000US2999999999,Remainder of Missouri
29,117,E330000US2999999999,Remainder of Missouri
29,119,E330000US2999999999,Remainder of Missouri
29,121,E330000US2999999999,Remainder of Missouri
29,123,E330000US2999999999,Remainder of Missouri
29,125,E330000US2999999999,Remainder of Missouri
29,127,E330000US2999999999,Remainder of Missouri
29,129,E330000US2999999999,Remainder of Missouri
29,131,E330000US2999999999,Remainder of Missouri
29,133,E330000US2999999999,Remainder of Missouri
29,135,E330000US2999999999,Remainder of Missouri
29,137,E330000US2999999999,Remainder of Missouri
29,139,E330000US2999999999,Remainder of Missouri
29,141,E330000US2999999999,Remainder of Missouri
29,143,E330000US2999999999,Remainder of Missouri
29,145,E330000US2999999999,Remainder of Missouri
29,147,E330000US2999999999,Remainder of Missouri
29,149,E330000US2999999999,Remainder of Missouri
29,151,E330000US2999999999,Remainder of Missouri
29,153,E330000US2999999999,Remainder of Missouri
